all定位误差X-1,all定位误差Y-1,all定位误差X-2,all定位误差Y-2,all定位误差X-3,all定位误差Y-3,all定位误差X-4,all定位误差Y-4,all物件坐标X-1,all物件坐标Y-1,all物理坐标X-1,all物理坐标Y-1,catch定位误差X(移动到拍照位),catch定位误差Y(移动到拍照位),catch光栅反馈X(移动到拍照位),catch光栅反馈Y(移动到拍照位),视觉误差X,视觉误差Y,catch复拍物件坐标X,catch复拍物件坐标Y,catch复拍物理坐标X,catch复拍物理坐标Y,catchPLC坐标X,catchPLC坐标Y,catch定位误差X,catch定位误差Y,catch光栅反馈X,catch光栅反馈Y,releasePLC坐标X,releasePLC坐标Y,release定位误差X,release定位误差Y,release光栅反馈X,release光栅反馈Y,贴合误差X,贴合误差Y,release视觉坐标X(像素),release视觉坐标Y(像素)
-0.11529541,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.116798401,-0.010000229,1291.573,1036.069,9.941,2.24,0.12470245361328125,-0.004997253,106.1,120.6,0.22356796264648438,-0.009536266,1294.903,1036.222,9.718,2.25,45.2,106.9,-0.815299988,-0.004997253,46.1,106.9,-50,122.8,-3,7.62939453125e-06,-47,122.8,-16.5,-2,2173.5,839
-0.11529541,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.116798401,-0.010000229,1438.407,1175.753,0.033,11.614,1.615203857421875,-0.004997253,229,120.6,1.7667982578277588,0.00176239013671875,1464.726,1175.817,-1.734,11.612,179.6,97.5,0.8852081298828125,-0.004997253,178.7,97.5,-50.4,-12,-4.68000412,-0.010000229,-45.7,-12,-6,-1,2184,840
-0.11529541,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.116798401,-0.010000229,1310.728,1150.327,8.613,9.931,-0.50479126,-0.010000229,231.2,28.5,-0.386760712,-0.012125969,1304.966,1150.488,9,9.943,171,7.1,-1.414794922,-1,172.5,7.1,-50.4,32.5,-6.760002136,-1,-43.6,32.5,-16.5,-13.00012207,2173.5,828
-0.11529541,-0.004997253,-0.144790649,-0.004997253,-0.144790649,-0.010000229,-0.116798401,-0.010000229,1412.94,1231.218,1.722,15.355,-4.316795349,-0.010000229,117.3,28.5,-4.22282362,-0.004501343,1350.035,1231.071,5.945,15.359,60.2,1.7,-5.136802673,-3.58E-07,65.4,1.7,-50,77.5,-7.920001984,-1,-42.1,77.5,-44.5,2,2145.5,843
-0.035301208,-0.01499939,-0.064804077,-0.01499939,-0.084793091,-0.01999855,-0.056800842,-0.01999855,1004.091,1038.909,29.238,2.497,-0.035301208,-0.01499939,106.2,120.6,-0.012237549,-0.005977631,1003.909,1038.997,29.251,2.503,25.9,106.6,0.004703521728515625,-0.01499939,25.9,106.6,-50,122.8,-0.86000061,-0.009994507,-49.1,122.8,-2.5,-1.5,2187.5,839.5
-0.035301208,-0.01499939,-0.064804077,-0.01499939,-0.084793091,-0.01999855,-0.056800842,-0.01999855,1361.993,1108.829,5.187,7.124,5.835205078,-0.01499939,224.8,120.6,5.919399261474609,0.0007371902465820312,1450.171,1109.119,-0.732,7.123,174.5,102,4.485198974609375,-0.004997253,170,102,-50.4,-12,4.539997100830078,-0.020000458,-54.9,-12,59,5.5,2249,846.5
-0.035301208,-0.01499939,-0.064804077,-0.01499939,-0.084793091,-0.01999855,-0.056800842,-0.01999855,1417.643,1309.85,1.378,20.649,9.595199584960938,-0.010000229,221.1,28.5,9.5850191116333,0.13680267333984375,-1,-1,-1,-1,178.3,-3.7,8.535202026367188,-0.009999752,169.7,-3.6,-50.4,32.5,4.219997406005859,-0.009998322,-54.6,32.5,74.5,24.5,2264.5,865.5
-0.035301208,-0.01499939,-0.064804077,-0.01499939,-0.084793091,-0.01999855,-0.056800842,-0.01999855,1304.716,1301.337,8.962,20.102,7.323204040527344,-0.01999855,105.6,28.5,7.3369903564453125,0.061573028564453125,1414.016,1300.796,1.625,20.04,53,-3.1,5.943202972412109,-0.010000467,47,-3.1,-50,77.5,3.8799972534179688,-0.009994507,-53.9,77.5,71.48388672,2.016601563,2261.484,843.017
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.076797485,-0.010000229,1328.462,1241.545,7.39,16.07,0.9247055053710938,-0.004997253,105.3,120.6,1.044665813446045,0.0015106201171875,1344.024,1241.575,6.345,16.068,47.8,93.1,-0.005298615,-0.004997253,47.8,93.1,-50.4,32.5,-2.400001526,-1,-48,32.5,-9.963867188,-5.382080078,2180.036,835.618
-0.075294495,-0.004997253,-0.124801636,-0.004997253,-0.124801636,-0.010000229,-0.076797485,-0.010000229,1439.681,1138.154,-0.039,9.081,1.795196533203125,-0.004997253,228.9,120.6,1.874532699584961,-0.014796257,1467.604,1138.469,-1.913,9.096,179.7,100,0.9351959228515625,-0.004997253,178.8,100.1,-50.4,-12,-4.840003967,-0.010000229,-45.6,-12,-7,3.5,2183,844.5
